feature,coefficient,abs_coefficient,selected
net_rtg_L5_diff,0.3032813542818088,0.3032813542818088,True
rest_x_home_b2b,0.050501166517609705,0.050501166517609705,True
off_rtg_L5_diff,0.0413423799238994,0.0413423799238994,True
win_streak_diff,0.03777398842504902,0.03777398842504902,True
rest_advantage,0.021296853475219264,0.021296853475219264,True
3pa_rate_L5_diff,0.00825580306676881,0.00825580306676881,True
off_efficiency_x_to,0.0,0.0,False
ft_rate_x_quality,0.0,0.0,False
consistency_x_quality,0.0,0.0,False
rim_protection_x_def,0.0,0.0,False
oreb_x_efg,0.0,0.0,False
off_def_synergy,0.0,0.0,False
form_x_net_rtg,0.0,0.0,False
form_x_streak,0.0,0.0,False
efg_x_ast,0.0,0.0,False
3p_efficiency_x_volume,0.0,0.0,False
rest_x_away_b2b,0.0,0.0,False
defense_disruption,0.0,0.0,False
is_b2b_home,0.0,0.0,False
is_b2b_away,0.0,0.0,False
def_rtg_L5_diff,0.0,0.0,False
pts_std_L5_diff,0.0,0.0,False
blk_pct_L5_diff,0.0,0.0,False
stl_pct_L5_diff,0.0,0.0,False
ast_ratio_L5_diff,0.0,0.0,False
oreb_pct_L5_diff,0.0,0.0,False
ft_rate_L5_diff,0.0,0.0,False
to_pct_L5_diff,0.0,0.0,False
win_pct_L5_diff,0.0,0.0,False
3p_pct_L5_diff,0.0,0.0,False
efg_pct_L5_diff,0.0,0.0,False
double_b2b,0.0,0.0,False
