feature,coefficient,abs_coefficient,selected
net_rtg_L10_diff,0.3852953453490787,0.3852953453490787,True
rest_x_home_b2b,0.046361293886923484,0.046361293886923484,True
off_rtg_L10_diff,0.03604941246767871,0.03604941246767871,True
win_pct_L10_diff,0.025331488243809736,0.025331488243809736,True
to_pct_L10_diff,-0.02131330811147247,0.02131330811147247,True
rest_advantage,0.02119799686981054,0.02119799686981054,True
3pa_rate_L10_diff,0.01754709863298679,0.01754709863298679,True
win_streak_diff,0.0008652045420008641,0.0008652045420008641,True
form_x_net_rtg,0.0,0.0,False
3p_efficiency_x_volume,0.0,0.0,False
efg_x_ast,0.0,0.0,False
form_x_streak,0.0,0.0,False
rim_protection_x_def,0.0,0.0,False
defense_disruption,0.0,0.0,False
oreb_x_efg,0.0,0.0,False
consistency_x_quality,0.0,0.0,False
ft_rate_x_quality,0.0,0.0,False
off_efficiency_x_to,0.0,0.0,False
rest_x_away_b2b,0.0,0.0,False
is_b2b_home,0.0,0.0,False
off_def_synergy,0.0,0.0,False
is_b2b_away,0.0,0.0,False
def_rtg_L10_diff,0.0,0.0,False
pts_std_L10_diff,0.0,0.0,False
blk_pct_L10_diff,0.0,0.0,False
stl_pct_L10_diff,0.0,0.0,False
ast_ratio_L10_diff,0.0,0.0,False
oreb_pct_L10_diff,0.0,0.0,False
ft_rate_L10_diff,0.0,0.0,False
3p_pct_L10_diff,0.0,0.0,False
efg_pct_L10_diff,0.0,0.0,False
double_b2b,0.0,0.0,False
